"Title";"Body";"Tag01";"Tag02";"Tag03";"Tag04";"Tag05";"Tag06";"Tag07";"Tag08";"Tag09";"Tag10";"Tag11";"Tag12";"Tag13";"Tag14";"Tag15";"Tag16";"Tag17";"Tag18";"Tag19";"Tag20"
"Accounting ";"No body – update the csv";"Accounting";" Budget";" Finance";" Treasury";;;;;;;;;;;;;;;;
"Actions ";"No body – update the csv";"Action";" Actions";" Civil Disobedience";" DA";" Direct Action";;;;;;;;;;;;;;;
"Aid ";"No body – update the csv";"Aid";" Library";" Mutual Aid";;;;;;;;;;;;;;;;;
"Arts";"No body – update the csv";"Art";" Arts";" Arts & Culture";" Culture";" Painting";" Sculpture";;;;;;;;;;;;;;
"Assembly";"No body – update the csv";"Assembly";" Facilitation";" Moderation";;;;;;;;;;;;;;;;;
"Documentation";"No body – update the csv";"Documentation";" How-To";" Minutes";" Note-taking";" Notes";" Reference Guide";" Script";" Technical Documentation";" User Guide";" Wiki";;;;;;;;;;
"Education";"No body – update the csv";"Classes";" Education";" Learning";" School";" Skillshare";" Teaching";" University";;;;;;;;;;;;;
"Faith";"No body – update the csv";"Faith";" Religion";" Spirituality";;;;;;;;;;;;;;;;;
"Food";"No body – update the csv";"Agriculture";" Farm";" Food";" Kitchen";" Meals";" Permaculture";" Vegetables";;;;;;;;;;;;;
"Housing";"No body – update the csv";"foreclosures";" Homeless";" Houseless";" Housing";" Shelter";;;;;;;;;;;;;;;
"Interpersonal";"No body – update the csv";"Communication";" Community";" Deescalation";" Interpersonal";" Mediation";" Nonviolent Communication";" NVC";" Security";;;;;;;;;;;;
"Law";"No body – update the csv";"Law";" Lawyers";" Legal";" Police";;;;;;;;;;;;;;;;
"Logistics";"No body – update the csv";"Inventory";" Logistics";" Sanitation";" Shipping";" SIS";" Storage";" Warehouse";" Waste";;;;;;;;;;;;
"Media";"No body – update the csv";"Commercial";" Headline";" Image";" Media";" News";" Photo";" Press";" Production";" Video";;;;;;;;;;;
"Medical";"No body – update the csv";"Clinic";" Health";" Medic";" Medical";" Medicine";;;;;;;;;;;;;;;
"Organizing";"No body – update the csv";"Coordination";" InterOcc";" Interoccupy";" InterOccupation";" CoC";" Committee of Correspondence";" Movement Building";;;;;;;;;;;;;
"Space";"No body – update the csv";"Cohousing";" Coworking";" Ecovillage";" Intentional Community";" Occupation";" Office";" Space";;;;;;;;;;;;;
"Sustainability";"No body – update the csv";"Environment";" Environmental";" Nature";" No Nuclear";" Permaculture";" Public Transit";" Public Transport";" Public Transportation";" Renewable Power";" Sustainability";;;;;;;;;;
"Technology";"No body – update the csv";"Hack";" Hardware";" Internet";" Security";" Software";" Tech";" Technology";" TechOps";" Web";" Website";;;;;;;;;;
"Translation";"No body – update the csv";"i18n";" Languages";" Multilingual";" Translation";;;;;;;;;;;;;;;;
